1132,3250
1101,2090
1891,835
682,598
1891,3095
681,454
1214,526
1531,999
1891,3314
1604,1438
167,3095
1604,3095
454,2706
454,999
598,999
1891,2090
1740,239
1891,608
167,2788
1532,2090
454,3095
1891,2948
463,310
1604,1264
1460,2617
1172,2706
167,999
1172,2090
1460,2090
96,2617
757,94
757,3034
167,1703
383,2090
1891,1527
1101,1439
1891,1350
1531,1703
886,1913
1746,2090
741,999
454,2946
391,3538
1317,2178
1891,3242
1746,836
1531,2869
1244,999
757,454
382,999
1604,1914
167,835
1317,1791
1748,916
1746,1914
1746,1352
1373,3683
813,999
1675,1913
1214,3179
1667,3323
682,3466
1244,1703
1746,2706
757,3179
757,3394
99,3683
998,887
1604,2353
1819,3242
1740,3466
312,2090
244,3538
1460,2530
610,3250
998,2819
1958,3683
23,999
1604,1175
1604,1527
1460,1438
1214,2890
167,2090
886,2178
1388,2946
1294,3683
1532,1352
2034,1087
310,3095
1746,3095
1746,2353
454,2530
244,94
1891,536
1604,3022
1891,3168
1317,2869
167,3242
1604,3168
1962,3023
598,1438
598,2530
2034,3314
1746,1438
1748,1703
1891,2530
1460,1264
167,2617
1891,2617
886,2706
310,1438
1604,2948
1964,1438
1818,2090
1748,2869
670,2868
1594,382
167,608
1675,999
454,1527
741,2948
454,2617
1448,454
239,1791
382,1791
1604,2530
998,22
526,536
454,2353
1214,239
1891,1264
598,2442
317,3466
310,916
1317,1175
1172,1438
598,2090
96,3460
957,1175
1604,2178
1244,2530
1956,94
454,836
682,382
1604,1702
527,610
1214,3107
1521,3322
757,239
1214,310
1748,463
1317,1527
96,244
1101,2441
1891,2441
1101,1527
998,3683
1214,741
1214,671
743,2178
312,2530
312,3168
1592,94
1818,999
670,1790
813,916
741,2869
463,3610
1604,536
94,1438
1531,2441
886,2353
310,2706
23,172
1604,999
1460,1914
1028,2266
1373,3466
239,2442
1214,3250
167,172
757,312
1746,757
382,2946
94,172
94,2090
1532,3095
1172,2353
317,166
1891,1914
1746,3168
1818,1791
239,2090
1388,2441
1294,94
1891,318
310,1264
743,1438
382,2869
835,3177
1746,391
610,3681
1447,598
527,2441
757,3322
1748,682
1818,1703
1245,2178
681,239
1592,454
454,1175
1746,1264
1746,2530
23,2788
998,3394
1294,383
813,1615
1818,3314
1460,2353
239,3459
390,3610
382,3314
454,536
1315,1264
526,2003
998,3322
916,3466
239,2948
23,3095
835,741
1245,1615
1818,835
1447,94
813,1087
1460,1350
1030,2354
741,1703
167,3387
239,1175
757,3683
998,527
1964,172
1100,1703
998,3107
608,239
813,835
2034,1703
463,382
1532,835
1604,835
454,1350
