24,1700
24,998
1606,1437
960,998
1606,2175
960,1700
1606,1700
24,536
1606,536
1606,998
1606,2526
1678,1700
24,2878
24,3704
24,1086
1376,3636
1031,2175
960,2526
24,2526
24,172
1678,998
456,2263
456,1086
1376,3350
1031,1437
24,2438
24,390
456,1437
1606,2263
1535,2263
24,97
1678,2526
960,2175
1678,1437
1031,2263
24,757
24,1437
1597,22
1966,1437
960,1437
1135,3350
456,1788
960,1086
1678,2175
600,834
1606,1261
527,1700
527,3118
391,237
2038,1998
2110,1700
1031,1788
1966,390
918,3350
391,3636
1320,1437
1135,237
456,2614
1966,3118
1102,2701
1606,1525
1135,3636
1606,757
384,1998
1031,2614
918,22
1678,2263
1966,1086
2110,97
1535,1086
2110,1349
1670,22
816,1086
888,1086
169,1437
456,1261
1031,1261
2110,2526
1751,2614
1135,382
384,2614
816,2878
816,1700
888,2614
816,1261
918,237
466,3636
960,2614
169,2878
888,1437
1751,834
527,1261
918,3854
169,390
169,2614
2038,3558
384,1788
2110,2175
1895,2614
918,3636
456,3042
384,2701
1606,3042
1320,1086
2110,757
888,2438
1742,3854
1135,94
960,1525
1606,1877
1135,3062
836,3350
1888,166
1742,3781
96,3118
1135,668
888,2526
240,1525
743,3118
527,1788
960,1261
2038,2175
1535,1788
384,757
1376,382
1606,2438
888,2087
888,2263
888,2701
169,608
528,915
384,1525
1678,2701
167,1349
1135,309
743,1700
744,2614
456,2790
1135,813
1966,757
888,1612
888,2790
1248,1349
24,1525
1297,3421
1751,2263
1376,3207
960,1612
1320,1788
1320,2614
918,3565
1606,2614
1751,2087
600,998
611,3350
167,757
1217,3421
1217,454
1678,1788
816,1349
1135,2991
1297,3565
1751,1349
1102,1875
313,2087
169,172
1031,1525
167,2175
744,1788
456,2175
1751,3485
1376,309
918,668
1678,3040
24,3631
456,1525
611,3494
816,1788
2110,536
1000,741
1462,1524
2039,3704
527,835
1248,2263
169,463
600,1875
1678,1877
673,2790
169,1086
167,1788
743,2175
466,309
2038,536
2038,1700
2110,998
960,1788
816,2526
1606,2790
1175,1349
1175,2878
1522,166
960,2790
24,316
1320,2878
538,309
1597,309
1535,3042
528,2960
466,3854
1135,3854
673,1788
760,3278
456,1877
1742,3636
600,1261
312,2960
1320,998
456,1349
1297,3852
758,382
1535,835
2039,2087
743,1437
1320,1261
1318,2350
2038,97
1135,453
760,3565
173,3781
2038,998
2038,3340
816,998
312,2790
1175,998
1462,2878
1597,237
1217,309
743,757
1678,1172
1248,1437
1318,2263
1248,2790
528,3267
758,3350
1376,668
1670,237
684,94
1751,2790
1522,382
888,2175
1000,670
2039,1788
1462,1875
1247,2703
167,1172
1751,3040
167,2526
1895,2701
1320,2960
2038,2878
466,3494
312,1788
1175,1700
1824,1086
1597,3636
2039,2614
743,2878
1391,2613
312,390
527,1998
1678,1261
1031,1877
1678,2614
1102,2790
169,3412
1751,2878
1824,1788
1320,2175
1889,94
760,670
247,3781
760,309
2038,317
1678,1998
1464,3118
1895,317
1217,741
836,382
1175,2175
466,3566
2039,172
2039,2438
173,3852
384,1172
96,1524
743,1086
2038,2263
1679,3118
2038,757
318,3709
611,3781
456,1700
1751,1437
2039,1612
1450,3709
1464,2263
1297,668
2038,1261
1822,2350
836,668
169,2350
918,3134
169,2790
1535,998
456,536
456,998
384,2790
169,3340
1462,2351
1824,2790
24,461
240,1262
887,1172
528,1524
169,1877
1895,3042
1749,3118
1450,526
1894,1998
1535,2703
97,681
1895,1172
528,536
528,757
1966,1788
816,2614
1247,2175
169,3704
887,1261
1376,3781
1297,3636
1462,3042
1670,3566
836,454
97,2790
758,3494
1216,526
743,2263
760,3207
1450,3350
1966,1172
1606,2351
1462,2614
2038,2790
1464,3194
97,1437
391,94
760,237
312,1261
1462,1261
816,2701
1966,3338
456,463
1000,526
1606,834
96,2438
836,3781
169,3118
391,309
2039,3412
1678,835
24,1262
2039,3118
24,2351
1894,2438
527,1875
1320,834
1248,1261
836,596
684,597
1247,1788
528,2878
836,3638
1894,536
1895,2175
1462,1788
1815,3781
1522,94
918,3062
246,22
888,1524
1749,1788
1742,3708
2038,834
1894,1437
167,2263
960,1877
97,2263
1031,2351
97,1261
2038,2526
1606,2701
169,3631
1217,237
836,310
1894,3558
1749,1998
2110,3042
1749,998
744,3042
538,3708
2038,608
2038,2960
